average,date,highest,lowest,order_count,volume
797900000,2022-07-01,804300000,793000000,182,217
797700000,2022-07-02,805450000,790000000,110,139
809600000,2022-07-03,818750000,800500000,98,110
824200000,2022-07-04,825000000,819200000,103,127
829700000,2022-07-05,833500000,826500000,103,132
813500000,2022-07-06,831400000,743100000,115,143
801000000,2022-07-07,818150000,740150000,93,135
787530136.99,2022-07-08,818900000,740400000,67,73
805000000,2022-07-09,814900000,802950000,122,146
750250000,2022-07-10,809700000,739200000,147,154
814000000,2022-07-11,825000000,740000000,136,203
819350000,2022-07-12,821950000,814000000,87,104
809711494.25,2022-07-13,820000000,751300000,73,87
821500000,2022-07-14,829800000,820900000,139,207
819900000,2022-07-15,825000000,751700000,160,221
821200000,2022-07-16,827300000,815000000,95,139
821800000,2022-07-17,826700000,819900000,138,191
827400000,2022-07-18,835900000,825000000,78,114
826600000,2022-07-19,827300000,758500000,89,127
818600000,2022-07-20,820000000,815000000,102,130
817900000,2022-07-21,820000000,758300000,123,158
828600000,2022-07-22,832400000,819000000,97,115
828800000,2022-07-23,830000000,760850000,92,107
809000000,2022-07-24,829400000,760300000,165,183
801219354.84,2022-07-25,823000000,755000000,85,93
818500000,2022-07-26,819000000,760400000,99,138
812086458.33,2022-07-27,819300000,787700000,79,96
814700000,2022-07-28,819150000,800000000,125,168
814900000,2022-07-29,819900000,813900000,128,176
825000000,2022-07-30,836200000,820000000,138,206
833000000,2022-07-31,857000000,804500000,130,223
829700000,2022-08-01,832750000,757900000,158,192
828900000,2022-08-02,829300000,828200000,89,104
824000000,2022-08-03,828000000,820000000,80,116
818500000,2022-08-04,819000000,805000000,93,133
813850000,2022-08-05,818800000,805000000,131,186
810000000,2022-08-06,817700000,762650000,122,165
820000000,2022-08-07,829000000,817700000,116,149
828900000,2022-08-08,829900000,805000000,112,173
829800000,2022-08-09,830000000,824900000,66,119
846950000,2022-08-10,851900000,827000000,97,146
907082758.62,2022-08-11,965000000,890000000,77,87
875500000,2022-08-12,899800000,875400000,96,125
