average,date,highest,lowest,order_count,volume
255300,2022-07-01,256550,253100,115,195
275000,2022-07-02,335000,245900,101,138
332450,2022-07-03,365000,243100,103,158
250150,2022-07-04,367350,90030,90,112
249161.92,2022-07-05,325000,230300,73,73
240898.94,2022-07-06,300000,230300,75,94
245548.11,2022-07-07,308000,230200,68,74
267626.3,2022-07-08,339800,230200,80,100
337150,2022-07-09,337200,230200,74,106
231000,2022-07-10,330000,230700,97,120
241947.22,2022-07-11,300000,231000,68,72
211415.85,2022-07-12,245000,100200,79,82
242211.22,2022-07-13,274500,231000,54,98
233720,2022-07-14,269800,231000,64,85
231000,2022-07-15,231000,231000,86,112
231100,2022-07-16,275000,231000,100,120
255550,2022-07-17,290000,231000,77,102
250483.52,2022-07-18,270000,231000,56,91
231100,2022-07-19,290100,231000,82,118
232000,2022-07-20,294900,231000,73,134
231000,2022-07-21,290000,120000,71,110
230800,2022-07-22,230800,230800,72,183
202003.33,2022-07-23,260000,115200,78,90
240000,2022-07-24,285000,120400,90,151
191171.74,2022-07-25,282900,130200,68,92
285000,2022-07-26,289900,283000,75,312
368000,2022-07-27,368000,368000,109,261
381800,2022-07-28,383600,275000,61,142
234143.18,2022-07-29,299100,143000,72,88
421900,2022-07-30,449900,399900,115,569
271185.42,2022-07-31,330500,150900,87,96
257797.01,2022-08-01,310000,155200,58,67
450000,2022-08-02,450100,419700,128,1162
332950,2022-08-03,385200,161800,84,120
324900,2022-08-04,395000,165400,77,119
433900,2022-08-05,446000,315000,187,675
789800,2022-08-06,899000,375000,152,265
499000,2022-08-07,650200,369000,175,241
357598.7,2022-08-08,543000,190000,67,77
268764.91,2022-08-09,350000,186700,52,57
207828.24,2022-08-10,279000,195200,66,85
384400,2022-08-11,385000,279900,85,236
331900.11,2022-08-12,475000,185200,69,92
271715.8,2022-08-13,395000,186500,63,69
248301.32,2022-08-14,320000,186600,58,76
229870.27,2022-08-15,294800,190800,72,74
449800,2022-08-16,449800,449800,96,398
271429.75,2022-08-17,379700,192000,58,81
214995,2022-08-18,395000,192700,58,64
449800,2022-08-19,449800,449800,61,154
340255,2022-08-20,439000,192000,50,76
252494.26,2022-08-21,422000,140600,64,68
290000,2022-08-22,379700,240000,99,217
398000,2022-08-23,399900,390000,70,207
283554.72,2022-08-24,400000,240000,50,53
282612.24,2022-08-25,344500,225000,46,49
290000,2022-08-26,295000,289900,68,128
303138.51,2022-08-27,385500,242300,59,74
262429.82,2022-08-28,349000,242100,53,56
408900,2022-08-29,409000,370000,46,125
320000,2022-08-30,320000,320000,77,360
397800,2022-08-31,469500,248800,64,109
370396.13,2022-09-01,375000,250100,39,75
